second X Y Z Vx Vy Vz phi theta psi alpha
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
0 0 0 2800 0 0 0 0 0.1483 0 0.1483
